city,lat,lng,country,iso2,admin,capital,population,population_proper
Jingzhou,37.688678,116.259581,China,CN,Hebei,minor,,
Jingchuan,30.68916,118.404306,China,CN,Anhui,minor,,
Xiluodu,28.244246,103.638491,China,CN,Yunnan,minor,,
Liucheng,30.7,103.837711,China,CN,Sichuan,minor,,
Fengcheng,25.056967,118.182895,China,CN,Fujian,minor,,
Wuqi,36.926314,108.171713,China,CN,Shaanxi,minor,,
Zhuolu,40.369444,115.216111,China,CN,Hebei,minor,,
Fengcheng,24.723647,116.724286,China,CN,Fujian,minor,,
Qumodê,32.200763,79.184467,China,CN,Tibet,minor,,
Hanbin,32.889722,108.904444,China,CN,Shaanxi,minor,,
Weiyang,34.290597,108.935543,China,CN,Shaanxi,minor,,
Hexi,21.686511,110.634166,China,CN,Guangdong,minor,,
Kaji,26.028488,102.788844,China,CN,Yunnan,minor,,
Xinlin,51.7,124.333333,China,CN,Heilongjiang,minor,,
Xinling,31.025301,110.318159,China,CN,Hubei,minor,,
Echeng,38.374443,111.971665,China,CN,Shanxi,minor,,
Qiancheng,27.185012,109.765432,China,CN,Hunan,minor,,
Saziba,25.867261,102.618539,China,CN,Yunnan,minor,,
Heping,46.086257,122.077083,China,CN,Inner Mongolia,minor,,
Gaoping,30.775757,106.102938,China,CN,Sichuan,minor,,
Yancheng,38.915376,111.869282,China,CN,Shanxi,minor,,
Tiantan,35.966111,111.841667,China,CN,Shanxi,minor,,
Qingyang,37.495833,121.258056,China,CN,Shandong,minor,,
Zhujiacun,26.320406,104.395712,China,CN,Yunnan,minor,,
Inder,46.7,122.933333,China,CN,Inner Mongolia,minor,,
Jinshi,26.41796,110.800169,China,CN,Hunan,minor,,
Liuxiang,37.871431,112.560535,China,CN,Shanxi,minor,,
Julun,37.907395,112.557744,China,CN,Shanxi,minor,,
Qianfeng,37.849424,112.520815,China,CN,Shanxi,minor,,
Mingshui,47.181499,125.900272,China,CN,Heilongjiang,minor,,
Tianshan,43.887365,120.093356,China,CN,Inner Mongolia,minor,,
Zhongcheng,28.59103,103.939579,China,CN,Yunnan,minor,,
Shaoyang,32.929583,119.835758,China,CN,Jiangsu,minor,,
Chunxi,31.327686,118.87489,China,CN,Jiangsu,minor,,
Xiaoshi,41.297111,124.120918,China,CN,Liaoning,minor,,
Sa’gya,28.916667,88.05,China,CN,Tibet,minor,,
Ghulja,43.963511,81.522132,China,CN,Xinjiang,minor,,
E’zhou,30.396072,114.886546,China,CN,Hubei,minor,,
Wuchang,44.914282,127.150007,China,CN,Heilongjiang,minor,,
Luzhai,24.497539,109.733146,China,CN,Guangxi,minor,,
Longquan,30.561297,104.268932,China,CN,Sichuan,minor,,
Miaodong,41.280728,119.435532,China,CN,Liaoning,minor,,
Fendou,46.641422,124.862833,China,CN,Heilongjiang,minor,,
Yinggen,19.038333,109.84,China,CN,Hainan,minor,,
Togrog Ul,40.7867,113.205,China,CN,Inner Mongolia,minor,,
Shanhe,35.484361,108.363982,China,CN,Gansu,minor,,
Yuanzhou,27.798464,114.376078,China,CN,Jiangxi,minor,,
Huangyuan Chengguanzhen,36.687488,101.270844,China,CN,Qinghai,minor,,
Pan’an,29.05368,120.437579,China,CN,Zhejiang,minor,,
Panlian,26.887777,102.108356,China,CN,Sichuan,minor,,
Fenyi,27.811166,114.668047,China,CN,Jiangxi,minor,,
Yangpu,31.261927,121.519037,China,CN,Shanghai,minor,,
Aoxi,27.425889,115.836427,China,CN,Jiangxi,minor,,
Aoyang,28.23896,114.920814,China,CN,Jiangxi,minor,,
Daxing,27.263693,100.863871,China,CN,Yunnan,minor,,
Huludao,40.752425,120.835524,China,CN,Liaoning,minor,,
Xinli,39.844167,108.734722,China,CN,Inner Mongolia,minor,,
Lhünzê,28.412189,92.461706,China,CN,Tibet,minor,,
Liancheng,24.05192,105.074969,China,CN,Yunnan,minor,,
Lijiang,23.571097,102.004166,China,CN,Yunnan,minor,,
Langjiu,32.359478,80.426797,China,CN,Tibet,minor,,
Yilan,46.316182,129.554546,China,CN,Heilongjiang,minor,,
Dingcheng,29.019372,111.679761,China,CN,Hunan,minor,,
Liquan Chengguanzhen,34.481111,108.423611,China,CN,Shaanxi,minor,,
Zhaxi,27.850811,104.968739,China,CN,Yunnan,minor,,
Shiziba,27.979619,104.180586,China,CN,Yunnan,minor,,
Xihuachi,35.816389,108.0125,China,CN,Gansu,minor,,
Hongjunlu,45.303468,130.975958,China,CN,Heilongjiang,minor,,
Gufu,31.362079,110.729184,China,CN,Hubei,minor,,
Ji’an,27.117158,114.979267,China,CN,Jiangxi,minor,,
Ji’an,41.123485,126.176307,China,CN,Jilin,minor,,
Maytagh,44.333333,84.85,China,CN,Xinjiang,minor,,
Jian’ou,27.046944,118.325278,China,CN,Fujian,minor,,
Hanyin Chengguanzhen,32.891389,108.504722,China,CN,Shaanxi,minor,,
Hanyuan,34.010833,105.291944,China,CN,Gansu,minor,,
Yancheng,29.650681,104.067234,China,CN,Sichuan,minor,,
Jingyang,30.291944,118.5425,China,CN,Anhui,minor,,
Jingyang,32.516667,107.883333,China,CN,Shaanxi,minor,,
Gyangkar,28.4,87.8,China,CN,Tibet,minor,,
Bama,24.170541,107.248919,China,CN,Guangxi,minor,,
Wusong,30.95,117.783333,China,CN,Anhui,minor,,
Yuxi,28.889,107.594,China,CN,Guizhou,minor,,
Juegang,32.31737,121.185525,China,CN,Jiangsu,minor,,
Yueyang,30.102297,105.333372,China,CN,Sichuan,minor,,
Yueyang,36.289603,111.914535,China,CN,Shanxi,minor,,
Mori,43.824423,90.194758,China,CN,Xinjiang,minor,,
Fusong,42.325048,127.27265,China,CN,Jilin,minor,,
Shangguan,39.069009,112.929129,China,CN,Shanxi,minor,,
Daiyue,39.520379,112.816844,China,CN,Shanxi,minor,,
Yingchuan,34.162778,113.463889,China,CN,Henan,minor,,
Bayinbaolige,41.091389,107.066389,China,CN,Inner Mongolia,minor,,
Jingshan,39.925278,116.404109,China,CN,Beijing,minor,,
Shedian,33.061278,112.94259,China,CN,Henan,minor,,
Maoping,30.829722,110.977778,China,CN,Hubei,minor,,
Dongqu,37.920205,112.200184,China,CN,Shanxi,minor,,
Baima,30.057524,96.918523,China,CN,Tibet,minor,,
Qingquan,30.45113,115.255931,China,CN,Hubei,minor,,
Suicheng,26.837787,116.835919,China,CN,Fujian,minor,,
Chengxiang,24.746362,114.52491,China,CN,Jiangxi,minor,,
Lüeyang Chengguanzhen,33.332045,106.154956,China,CN,Shaanxi,minor,,
Zhecheng Chengguanzhen,34.104597,115.317604,China,CN,Henan,minor,,
Jinta,39.983333,98.866667,China,CN,Gansu,minor,,
Shuigou’ao,27.11913,103.35337,China,CN,Yunnan,minor,,
Wufeng,27.45,104.833333,China,CN,Yunnan,minor,,
Yanjing,27.426986,101.509675,China,CN,Sichuan,minor,,
Shishi,24.740383,118.629061,China,CN,Fujian,minor,,
Ning’er,23.040533,101.036834,China,CN,Yunnan,minor,,
Ninghai,29.289167,121.424722,China,CN,Zhejiang,minor,,
Chunhua,34.798889,108.575,China,CN,Shaanxi,minor,,
Xianshuigu,38.985,117.382778,China,CN,Tianjin,minor,,
Jiaocheng,24.657319,116.167091,China,CN,Guangdong,minor,,
Xinchenglu,31.388639,121.263053,China,CN,Shanghai,minor,,
Puyang,35.763182,115.017213,China,CN,Henan,minor,,
Chaoge,35.605,114.188611,China,CN,Henan,minor,,
Bujie,28.033518,105.055699,China,CN,Yunnan,minor,,
Wulaocun,32.034371,118.795754,China,CN,Jiangsu,minor,,
Luanping,40.916667,117.283333,China,CN,Hebei,minor,,
Xinshiba,28.970911,102.771265,China,CN,Sichuan,minor,,
Xing’an,47.246296,130.220376,China,CN,Heilongjiang,minor,,
Taipingdian,28.559255,104.222027,China,CN,Yunnan,minor,,
Xianghu,25.8,116.0,China,CN,Jiangxi,minor,,
Datong,46.033759,124.810644,China,CN,Heilongjiang,minor,,
Mengdong,23.161522,99.202263,China,CN,Yunnan,minor,,
Kouquan,39.9982,113.145,China,CN,Shanxi,minor,,
Kouqian,43.639137,126.457835,China,CN,Jilin,minor,,
Shirong,29.350923,102.652481,China,CN,Sichuan,minor,,
Zhongzhan,35.241389,113.160278,China,CN,Henan,minor,,
Xiashi,30.536294,120.686384,China,CN,Zhejiang,minor,,
Ziyang,29.249722,117.854722,China,CN,Jiangxi,minor,,
Huohua,30.758999,106.059358,China,CN,Sichuan,minor,,
Wufeng,30.200001,110.690812,China,CN,Hubei,minor,,
Jinchuan,31.47551,102.058838,China,CN,Sichuan,minor,,
Jinchuan,27.760358,115.388502,China,CN,Jiangxi,minor,,
Hoh Ereg,41.095556,111.440833,China,CN,Inner Mongolia,minor,,
Zhaoren,35.206667,107.791389,China,CN,Shaanxi,minor,,
Huichang,25.600737,115.777955,China,CN,Jiangxi,minor,,
Xindu,30.82236,104.157421,China,CN,Sichuan,minor,,
Yatou,37.156603,122.437623,China,CN,Shandong,minor,,
Yisuhe,27.765437,112.92683,China,CN,Hunan,minor,,
Dianga,34.063627,103.213582,China,CN,Gansu,minor,,
Baochang,41.884444,115.278889,China,CN,Inner Mongolia,minor,,
Taiping,28.368766,121.36171,China,CN,Zhejiang,minor,,
Gushi Chengguanzhen,32.162076,115.669887,China,CN,Henan,minor,,
Hanchang,28.7,113.583333,China,CN,Hunan,minor,,
Dazhou,31.215921,107.500922,China,CN,Sichuan,minor,,
Xi Xian Chengguanzhen,32.343611,114.729444,China,CN,Henan,minor,,
Jimsar,43.983333,89.066667,China,CN,Xinjiang,minor,,
Lishi,24.804591,115.033252,China,CN,Jiangxi,minor,,
Jinxiu,24.137208,110.180091,China,CN,Guangxi,minor,,
Gaocheng,29.988143,100.269403,China,CN,Sichuan,minor,,
Long’an,32.409336,104.528684,China,CN,Sichuan,minor,,
Long’an Chengxiangzhen,23.207117,107.650901,China,CN,Guangxi,minor,,
Dengzhou,37.808222,120.759083,China,CN,Shandong,minor,,
Gaotangling,28.366667,112.816667,China,CN,Hunan,minor,,
Yongchang,31.665742,104.437265,China,CN,Sichuan,minor,,
Guishan,24.05027,102.000181,China,CN,Yunnan,minor,,
Xiangjiaba,28.632664,104.404159,China,CN,Yunnan,minor,,
Babao,38.180556,100.240278,China,CN,Qinghai,minor,,
Guozhen,34.365907,107.359045,China,CN,Shaanxi,minor,,
Ma’erkang,31.901964,102.220684,China,CN,Sichuan,minor,,
Luwan,31.209083,121.463354,China,CN,Shanghai,minor,,
Xiushan,24.109992,102.761531,China,CN,Yunnan,minor,,
Nanma,36.18478,118.15486,China,CN,Shandong,minor,,
Congdü,28.15,85.966667,China,CN,Tibet,minor,,
Naxi,28.77422,105.36488,China,CN,Sichuan,minor,,
Xinxing,47.154674,123.809867,China,CN,Heilongjiang,minor,,
Xinglongchang,28.266327,104.389047,China,CN,Yunnan,minor,,
Zijinglu,34.76,112.971389,China,CN,Henan,minor,,
Ganhechen,33.5582,114.02,China,CN,Henan,minor,,
Huanfeng,31.716667,118.1,China,CN,Anhui,minor,,
Hong’an Chengguanzhen,31.362075,114.63689,China,CN,Hubei,minor,,
Khutubi,44.190348,86.885212,China,CN,Xinjiang,minor,,
Xiannü,32.428065,119.560478,China,CN,Jiangsu,minor,,
Jingning Chengguanzhen,35.52036,105.723012,China,CN,Gansu,minor,,
Jiangkou,23.439158,111.497401,China,CN,Guangdong,minor,,
Xinji,31.6232,114.874,China,CN,Henan,minor,,
Guang’an,30.474126,106.636959,China,CN,Sichuan,minor,,
Sêrkang,32.216667,92.116667,China,CN,Tibet,minor,,
Nanzhang Chengguanzhen,31.783941,111.827518,China,CN,Hubei,minor,,
Beiyingzi,40.760693,119.117863,China,CN,Liaoning,minor,,
Baiyin Chagan,41.453333,113.183333,China,CN,Inner Mongolia,minor,,
Dawangzhuang,39.127029,117.216184,China,CN,Tianjin,minor,,
Dayingmen,39.107338,117.209584,China,CN,Tianjin,minor,,
Linjiang,36.3275,112.881944,China,CN,Shanxi,minor,,
Taiqian Chengguanzhen,35.99102,115.853231,China,CN,Henan,minor,,
Jiecun,27.355722,102.98271,China,CN,Yunnan,minor,,
Sui’an,24.086982,117.60912,China,CN,Fujian,minor,,
Huzhong,51.95,123.666667,China,CN,Heilongjiang,minor,,
Shiguai,40.705833,110.285556,China,CN,Inner Mongolia,minor,,
Ningnan,31.985041,118.781471,China,CN,Jiangsu,minor,,
Bengshutang,28.036641,99.508353,China,CN,Yunnan,minor,,
Aba,32.905943,101.706251,China,CN,Sichuan,minor,,
Chenggan,26.145431,102.803007,China,CN,Yunnan,minor,,
Ningjin,37.649849,116.793282,China,CN,Shandong,minor,,
Jianghai,22.575183,113.119045,China,CN,Guangdong,minor,,
Dayu,39.937499,116.096686,China,CN,Beijing,minor,,
Doucun,34.748085,109.179676,China,CN,Shaanxi,minor,,
Salaqi,40.541389,110.510833,China,CN,Inner Mongolia,minor,,
Jiaokui,27.594143,104.004778,China,CN,Yunnan,minor,,
Nanjie,23.634137,112.434781,China,CN,Guangdong,minor,,
Fengqiu Chengguanzhen,35.029167,114.413056,China,CN,Henan,minor,,
Geluwan,27.373738,99.656073,China,CN,Yunnan,minor,,
Xiling,30.71606,111.283903,China,CN,Hubei,minor,,
Puji,27.380189,102.541263,China,CN,Sichuan,minor,,
Jiaxiang,35.396058,116.348001,China,CN,Shandong,minor,,
Luanzhou,39.75,118.733333,China,CN,Hebei,minor,,
Chenghua,23.461319,116.770071,China,CN,Guangdong,minor,,
Pagnag,32.269858,91.681006,China,CN,Tibet,minor,,
Pagqên,33.968645,99.900974,China,CN,Qinghai,minor,,
Ningxiang,37.34,111.205227,China,CN,Shanxi,minor,,
Mengcheng Chengguanzhen,33.266109,116.566052,China,CN,Anhui,minor,,
Duohu,29.093696,119.685107,China,CN,Zhejiang,minor,,
Moluo,30.803923,98.10038,China,CN,Tibet,minor,,
Wuyun,28.653885,120.066934,China,CN,Zhejiang,minor,,
Wuyuan,30.515387,120.948562,China,CN,Zhejiang,minor,,
Xinzhou,24.872345,105.351169,China,CN,Guangxi,minor,,
Xiangzhou,23.972824,109.666778,China,CN,Guangxi,minor,,
Shuiying,27.810134,104.798397,China,CN,Yunnan,minor,,
Lhünzhub,30.201,91.301,China,CN,Tibet,minor,,
Hezuo,34.985556,102.909444,China,CN,Gansu,minor,,
Chengzhong,29.106444,119.648553,China,CN,Zhejiang,minor,,
Tuanfeng,30.713606,114.91613,China,CN,Hubei,minor,,
Yishi,35.164972,110.745979,China,CN,Shanxi,minor,,
Yishan,34.299444,119.254167,China,CN,Jiangsu,minor,,
Songmai,28.714706,99.286325,China,CN,Sichuan,minor,,
Songlong,31.162399,120.6384,China,CN,Jiangsu,minor,,
Yuanhe,31.399291,120.614446,China,CN,Jiangsu,minor,,
Hongliuwan,39.63187,94.336939,China,CN,Gansu,minor,,
Meilisi,47.314988,123.754418,China,CN,Heilongjiang,minor,,
Kalpin,40.52755,79.06577,China,CN,Xinjiang,minor,,
Lintan Chengguanzhen,34.68885,103.352424,China,CN,Gansu,minor,,
Shuangqiao,35.09,112.58,China,CN,Henan,minor,,
Nansha,23.180369,102.8333,China,CN,Yunnan,minor,,
Chengguan,39.907222,111.673333,China,CN,Inner Mongolia,minor,,
Qingyuan,28.117203,112.998463,China,CN,Hunan,minor,,
Nancheng,36.948611,115.997778,China,CN,Shandong,minor,,
Longquan,36.695249,110.95564,China,CN,Shanxi,minor,,
Xixiang,32.987028,107.763996,China,CN,Shaanxi,minor,,
Lintong,34.378027,109.208925,China,CN,Shaanxi,minor,,
Shouxihu,32.420892,119.404354,China,CN,Jiangsu,minor,,
Dahuaishu,36.265556,111.675278,China,CN,Shanxi,minor,,
Bagrax,41.984335,86.621985,China,CN,Xinjiang,minor,,
Baicheng,23.899722,106.613333,China,CN,Guangxi,minor,,
Xiaohebian,27.727632,103.995138,China,CN,Yunnan,minor,,
Huanggexi,27.854143,103.861054,China,CN,Yunnan,minor,,
Yuelejie,27.826934,103.783072,China,CN,Yunnan,minor,,
Bencheng,39.5,118.7,China,CN,Hebei,minor,,
Baiguan,30.032506,120.859955,China,CN,Zhejiang,minor,,
Huazhou,32.682222,112.081944,China,CN,Henan,minor,,
Gengqing,31.816489,98.595791,China,CN,Sichuan,minor,,
Huangzhai,38.075136,112.659459,China,CN,Shanxi,minor,,
Guixi,30.333551,107.345446,China,CN,Chongqing,minor,,
Caidian,30.583333,114.033333,China,CN,Hubei,minor,,
Changde,29.046378,111.678304,China,CN,Hunan,minor,,
Xi’an,34.258333,108.928611,China,CN,Shaanxi,admin,,
Xiugu,27.911318,116.77637,China,CN,Jiangxi,minor,,
Coka,30.9054,94.6695,China,CN,Tibet,minor,,
Xindou,31.396484,100.678469,China,CN,Sichuan,minor,,
Zhangjiapan,37.601569,108.797024,China,CN,Shaanxi,minor,,
Samdo,31.2143,96.5994,China,CN,Tibet,minor,,
Huanan,46.2207,130.525,China,CN,Heilongjiang,minor,,
Hechuan,26.936125,114.227784,China,CN,Jiangxi,minor,,
Yanling,29.530646,104.661081,China,CN,Sichuan,minor,,
Xuefeng,26.357222,117.197778,China,CN,Fujian,minor,,
Qasq,40.712222,111.128889,China,CN,Inner Mongolia,minor,,
Luoyang,27.561389,119.711389,China,CN,Zhejiang,minor,,
Shangdu,42.250045,116.007975,China,CN,Inner Mongolia,minor,,
Daishan,30.245885,122.198952,China,CN,Zhejiang,minor,,
Hekou,37.884645,118.526641,China,CN,Shandong,minor,,
Yiyang Chengguanzhen,34.510833,112.162222,China,CN,Henan,minor,,
Dongcheng,33.412347,115.080908,China,CN,Henan,minor,,
Zhongshan,22.523058,113.379122,China,CN,Guangdong,minor,,
Zhadün,29.65,84.166667,China,CN,Tibet,minor,,
Sanhe,29.868641,107.730266,China,CN,Chongqing,minor,,
Rutog,33.384228,79.729824,China,CN,Tibet,minor,,
Youyi,46.804848,130.319219,China,CN,Heilongjiang,minor,,
Haliut,41.556111,108.519722,China,CN,Inner Mongolia,minor,,
Lianran,24.922707,102.484959,China,CN,Yunnan,minor,,
Baiyu,28.576627,99.672016,China,CN,Yunnan,minor,,
Shuijia,27.488088,100.06321,China,CN,Yunnan,minor,,
Puyang Chengguanzhen,35.705058,115.014086,China,CN,Henan,minor,,
Jincheng,30.997115,105.881911,China,CN,Sichuan,minor,,
Jincheng,25.501468,102.400584,China,CN,Yunnan,minor,,
Zhaoping,24.172435,110.787031,China,CN,Guangxi,minor,,
Shoushan,34.277714,107.746192,China,CN,Shaanxi,minor,,
Dingping,30.338622,106.926995,China,CN,Sichuan,minor,,
Qianzhou,28.319255,109.733458,China,CN,Hunan,minor,,
Acheng,45.545452,126.977031,China,CN,Heilongjiang,minor,,
Qincheng,34.580278,105.727222,China,CN,Gansu,minor,,
Tiantai Chengguanzhen,29.136327,121.02958,China,CN,Zhejiang,minor,,
Ningling Chengguanzhen,34.45,115.316667,China,CN,Henan,minor,,
Ningjin,36.9863,122.502,China,CN,Shandong,minor,,
Lianjiang,22.590178,113.076419,China,CN,Guangdong,minor,,
Chumba,29.083333,92.6,China,CN,Tibet,minor,,
Changsha,22.381245,112.684921,China,CN,Guangdong,minor,,
Nankengzai,26.283333,117.883333,China,CN,Fujian,minor,,
Dongmen,24.791982,108.900002,China,CN,Guangxi,minor,,
Yanshi Chengguanzhen,34.71601,112.795677,China,CN,Henan,minor,,
Yuyue,30.018199,113.963247,China,CN,Hubei,minor,,
Tiancheng,29.540217,114.041547,China,CN,Hubei,minor,,
Tianchang,32.684971,119.009321,China,CN,Anhui,minor,,
Xireg,36.918657,98.444627,China,CN,Qinghai,minor,,
Fuyang,30.053333,119.951944,China,CN,Zhejiang,minor,,
Guanghe Chengguanzhen,35.481533,103.576044,China,CN,Gansu,minor,,
Rongwo,35.51483,102.015999,China,CN,Qinghai,minor,,
Shicheng,27.106706,119.334993,China,CN,Fujian,minor,,
Lubei,44.608659,120.955603,China,CN,Inner Mongolia,minor,,
Chengfangqiao,25.757251,103.831042,China,CN,Yunnan,minor,,
Yizhang Chengguanzhen,25.383227,112.978969,China,CN,Hunan,minor,,
Shiqiao,22.946399,113.357688,China,CN,Guangdong,minor,,
Kuaidamao,41.655323,125.742248,China,CN,Jilin,minor,,
Chenying,28.692901,117.067316,China,CN,Jiangxi,minor,,
Jiangyan,32.506111,120.142778,China,CN,Jiangsu,minor,,
Wujin,30.411309,103.813016,China,CN,Sichuan,minor,,
Xinglong,40.420278,117.5075,China,CN,Hebei,minor,,
Jinding,26.439027,99.440606,China,CN,Yunnan,minor,,
Meixian,24.283815,116.069533,China,CN,Guangdong,minor,,
Lingchuan,25.409511,110.322777,China,CN,Guangxi,minor,,
Wanzhi,31.146871,118.567083,China,CN,Anhui,minor,,
Gaolan Chengguanzhen,36.334669,103.945559,China,CN,Gansu,minor,,
Batang,30.006563,99.107236,China,CN,Sichuan,minor,,
Shishan,31.298826,120.565155,China,CN,Jiangsu,minor,,
Shuangta,31.304077,120.629678,China,CN,Jiangsu,minor,,
Pingjianglu,31.314688,120.629785,China,CN,Jiangsu,minor,,
Nirji,48.483333,124.483333,China,CN,Inner Mongolia,minor,,
Qiaoshang,27.942737,105.164845,China,CN,Yunnan,minor,,
Hanshang,32.377438,119.393021,China,CN,Jiangsu,minor,,
Gaocun,27.877306,109.784755,China,CN,Hunan,minor,,
Loushanguan,28.1368,106.822,China,CN,Guizhou,minor,,
Danfeng,24.83054,104.008195,China,CN,Yunnan,minor,,
Yaozhou,34.905278,108.97,China,CN,Shaanxi,minor,,
Tiexi,47.311866,130.280271,China,CN,Heilongjiang,minor,,
Ehen Hudag,39.2,101.666667,China,CN,Inner Mongolia,minor,,
Jiulong,30.53622,106.43713,China,CN,Sichuan,minor,,
Xingsha,28.239722,113.087778,China,CN,Hunan,minor,,
Songbai,31.756848,110.672517,China,CN,Hubei,minor,,
Yong’an,39.695712,113.687079,China,CN,Shanxi,minor,,
Qiaotou,36.935,101.673611,China,CN,Qinghai,minor,,
Gulin,28.042232,105.810378,China,CN,Sichuan,minor,,
Lucheng,31.233572,117.280566,China,CN,Anhui,minor,,
Zhushan Chengguanzhen,32.221786,110.236138,China,CN,Hubei,minor,,
Linwu Chengguanzhen,25.23247,112.539812,China,CN,Hunan,minor,,
Funan Chengguanzhen,32.636781,115.614943,China,CN,Anhui,minor,,
Aoyang,27.458889,119.501389,China,CN,Fujian,minor,,
Si’en,24.841981,108.271622,China,CN,Guangxi,minor,,
Shuizhulin,27.944491,103.674421,China,CN,Yunnan,minor,,
Dailing,47.023889,129.019035,China,CN,Heilongjiang,minor,,
Chengguan,35.309353,115.118811,China,CN,Shandong,minor,,
Yuanyang Chengguanzhen,35.052222,113.963889,China,CN,Henan,minor,,
Nyinma,34.000651,102.071273,China,CN,Gansu,minor,,
Zongga,29.0,85.25,China,CN,Tibet,minor,,
Poskam,38.188669,77.270748,China,CN,Xinjiang,minor,,
Ruyang Chengguanzhen,34.150278,112.458333,China,CN,Henan,minor,,
Tiantang,30.85,116.35,China,CN,Anhui,minor,,
Yuanma,25.681969,101.871999,China,CN,Yunnan,minor,,
Jifeng,35.613467,110.958542,China,CN,Shanxi,minor,,
Zhihe,36.779964,110.639562,China,CN,Shanxi,minor,,
Jibenggang,29.6583,91.1276,China,CN,Tibet,minor,,
Dangquka,30.4859,91.1026,China,CN,Tibet,minor,,
Fenghuang,38.997803,112.297786,China,CN,Shanxi,minor,,
Hanyuan,32.833995,106.250352,China,CN,Shaanxi,minor,,
Huixian Chengguanzhen,33.768333,106.080833,China,CN,Gansu,minor,,
Chengguan,35.458611,113.797778,China,CN,Henan,minor,,
Nankang,29.446542,116.040678,China,CN,Jiangxi,minor,,
Renminlu,36.551198,104.169515,China,CN,Gansu,minor,,
Ailan Mubage,43.908453,81.332995,China,CN,Xinjiang,minor,,
Tianchi,30.28112,105.023461,China,CN,Sichuan,minor,,
Xisa,23.450001,104.707746,China,CN,Yunnan,minor,,
Rongshui,25.066667,109.25,China,CN,Guangxi,minor,,
Wudan,42.934444,119.023889,China,CN,Inner Mongolia,minor,,
Lucheng,30.054261,101.967925,China,CN,Sichuan,minor,,
Longquan,24.671925,102.161303,China,CN,Yunnan,minor,,
Xianyang,34.33778,108.70261,China,CN,Shaanxi,minor,,
Xuri,28.43511,117.919792,China,CN,Jiangxi,minor,,
Xiongzhou,32.343592,118.849862,China,CN,Jiangsu,minor,,
Furong,26.45,114.766667,China,CN,Jiangxi,minor,,
Yichuan Chengguanzhen,34.419722,112.419167,China,CN,Henan,minor,,
Guzhen Chengguanzhen,33.310556,117.310556,China,CN,Anhui,minor,,
Jimai,33.751545,99.648212,China,CN,Qinghai,minor,,
Youxian Chengguanzhen,26.991681,113.360617,China,CN,Hunan,minor,,
Chenyang,28.015815,110.172982,China,CN,Hunan,minor,,
Beijinglu,31.322678,118.385055,China,CN,Anhui,minor,,
Liminlu,31.318845,118.362885,China,CN,Anhui,minor,,
Zhongshan,24.533333,111.3,China,CN,Guangxi,minor,,
Jin’e,29.343129,105.284427,China,CN,Sichuan,minor,,
Minzhu,43.721445,127.334015,China,CN,Jilin,minor,,
Bazhou,31.8557,106.772,China,CN,Sichuan,minor,,
Burang,30.295594,81.175114,China,CN,Tibet,minor,,
Binhe,37.510841,105.184446,China,CN,Ningxia,minor,,
Xiaping,26.731389,114.270278,China,CN,Jiangxi,minor,,
Wuling,39.467988,114.148425,China,CN,Shanxi,minor,,
Kangbao,41.846389,114.613889,China,CN,Hebei,minor,,
Yuli,41.336623,86.256755,China,CN,Xinjiang,minor,,
Jichang,36.101111,110.673333,China,CN,Shanxi,minor,,
Xiaoxita,30.77135,111.321458,China,CN,Hubei,minor,,
Wenquan,34.935278,113.073333,China,CN,Henan,minor,,
Xayar,41.23,82.805833,China,CN,Xinjiang,minor,,
Luqiao,29.932463,102.231631,China,CN,Sichuan,minor,,
Dongguan,39.01732,111.126737,China,CN,Shanxi,minor,,
Daqinglu,34.899274,112.583144,China,CN,Henan,minor,,
Wacheng,33.783333,114.516667,China,CN,Henan,minor,,
Decheng,23.142632,111.777367,China,CN,Guangdong,minor,,
Deqing,30.54485,119.959901,China,CN,Zhejiang,minor,,
Mangqu,35.585697,100.752372,China,CN,Qinghai,minor,,
Xingguo,29.922525,115.302076,China,CN,Hubei,minor,,
Xingguo,34.858611,105.668611,China,CN,Gansu,minor,,
Tubu,29.045323,115.812674,China,CN,Jiangxi,minor,,
Baoshenmiao,40.912099,119.072601,China,CN,Liaoning,minor,,
Qinglong,40.405556,118.943889,China,CN,Hebei,minor,,
Dangchang Chengguanzhen,34.044616,104.394643,China,CN,Gansu,minor,,
Nagqu,31.403,92.003,China,CN,Tibet,minor,,
Awat,40.638369,80.379655,China,CN,Xinjiang,minor,,
Karakax,37.272249,79.737278,China,CN,Xinjiang,minor,,
Shancheng,24.491553,117.34568,China,CN,Fujian,minor,,
Hunchun,42.8675,130.358056,China,CN,Jilin,minor,,
Xing’an,50.247699,127.493234,China,CN,Heilongjiang,minor,,
Qionghu,28.840611,112.373994,China,CN,Hunan,minor,,
Xishaqiao,28.302511,103.984819,China,CN,Yunnan,minor,,
Gaoleshan,29.678254,109.144526,China,CN,Hubei,minor,,
Zhuxi Chengguanzhen,32.325686,109.723369,China,CN,Hubei,minor,,
Linquan,37.979647,111.020587,China,CN,Shanxi,minor,,
Linxia Chengguanzhen,35.600278,103.206389,China,CN,Gansu,minor,,
Kaiyuan,36.068126,113.822086,China,CN,Henan,minor,,
Changning,24.955677,115.642358,China,CN,Jiangxi,minor,,
Youdian,24.828942,99.592317,China,CN,Yunnan,minor,,
Shuihu,32.476667,117.157778,China,CN,Anhui,minor,,
Weishi Chengguanzhen,34.413611,114.187222,China,CN,Henan,minor,,
Xincheng,22.701551,112.224645,China,CN,Guangdong,minor,,
